first_name,last_name,gender,Age_category,past_3_years_bike_related_purchases_categories,cluster,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
Rosmunda,Duxbarry,Female,25-34,61-70,Cat_2,Executive Secretary,Property,Affluent Customer,N,Yes,5,4208,QLD,11
Rozamond,Riha,Female,35-44,51-60,Cat_2,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,4078,QLD,7
Gunner,Petti,Male,18-24,61-70,Cat_2,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,4036,QLD,5
Vivienne,Crayden,Female,25-34,81-90,Cat_2,Associate Professor,Manufacturing,High Net Worth,N,Yes,6,4173,QLD,7
Sherilyn,Canero,Female,25-34,11-20,Cat_1,Dental Hygienist,Health,High Net Worth,N,Yes,13,2484,NSW,7
Bessie,Roscow,Female,25-34,71-80,Cat_1,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,2121,NSW,10
Kevina,Ferandez,Female,18-24,71-80,Cat_2,Assistant Professor,Financial Services,High Net Worth,N,No,15,4068,QLD,9
Yancy,Clementet,Male,55-64,Below 10,Cat_1,Mechanical Systems Engineer,Retail,High Net Worth,N,No,15,2147,NSW,9
Mabelle,Wellbelove,Female,55-64,71-80,Cat_1,Cost Accountant,Financial Services,Affluent Customer,N,Yes,19,2219,NSW,9
Hasheem,Groucock,Male,45-54,Above 90,Cat_1,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,2034,NSW,12
Tobias,Woodhams,Male,55-64,Below 10,Cat_1,Research Nurse,Health,Mass Customer,N,No,17,2759,NSW,9
Glennis,Flintoff,Female,Above 64,31-40,Cat_2,Speech Pathologist,Health,Affluent Customer,N,Yes,13,3030,VIC,7
Chanda,Mensler,Female,45-54,11-20,Cat_1,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,2212,NSW,10
Katheryn,Kinner,Female,45-54,11-20,Cat_1,Analyst Programmer,Entertainment,High Net Worth,N,No,6,2518,NSW,6
Sumner,Carrivick,Male,25-34,51-60,Cat_1,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,2097,NSW,12
Valerie,Pickover,Female,55-64,31-40,Cat_1,Editor,Financial Services,Mass Customer,N,No,9,2756,NSW,8
Esther,Rooson,Female,35-44,11-20,Cat_1,Cost Accountant,Financial Services,Mass Customer,N,No,5,2046,NSW,9
Gardie,Crellim,Male,45-54,51-60,Cat_2,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,3161,VIC,12
Sean,O'Loughlin,Male,55-64,41-50,Cat_1,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,2576,NSW,10
Pietra,Buckleigh,Female,Above 64,Below 10,Cat_1,Engineer III,Manufacturing,High Net Worth,N,No,13,2024,NSW,10
Marysa,Rouchy,Female,18-24,Below 10,Cat_1,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,2026,NSW,9
Kahaleel,,Male,Above 64,Below 10,Cat_1,GIS Technical Architect,Financial Services,High Net Worth,N,No,13,2035,NSW,12
Ossie,Midden,Male,Above 64,41-50,Cat_1,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,2479,NSW,9
Sid,Carlone,Male,45-54,21-30,Cat_2,Structural Engineer,Health,Affluent Customer,N,No,16,4670,QLD,2
Ludovico,Juster,Male,25-34,Above 90,Cat_1,Environmental Specialist,Manufacturing,Affluent Customer,N,No,15,2125,NSW,10
Patricia,Everix,Female,45-54,31-40,Cat_1,Director of Sales,Health,Mass Customer,N,No,19,2263,NSW,7
Andromache,Bonafacino,Female,45-54,81-90,Cat_1,Sales Representative,Retail,Mass Customer,N,No,11,2015,NSW,9
Levy,Abramamov,Male,Above 64,Above 90,Cat_2,Teacher,Financial Services,Affluent Customer,N,Yes,14,4037,QLD,8
Jehu,Prestedge,Male,18-24,Above 90,Cat_1,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,8,2138,NSW,12
Symon,Mawne,Male,Above 64,11-20,Cat_2,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,3350,VIC,4
Karlik,Penchen,Male,25-34,51-60,Cat_2,Nurse Practicioner,Retail,Mass Customer,N,No,11,4017,QLD,6
Bengt,Bilson,Male,45-54,21-30,Cat_1,Structural Engineer,Manufacturing,High Net Worth,N,No,11,2232,NSW,10
Evangelin,Boc,Female,18-24,21-30,Cat_2,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,3173,VIC,8
Hanny,Treven,Female,25-34,81-90,Cat_2,Associate Professor,Retail,Mass Customer,N,No,3,4118,QLD,4
Gina,Mallon,Female,25-34,51-60,Cat_2,Dental Hygienist,Health,Mass Customer,N,No,12,4670,QLD,2
Reynold,Elman,Male,Above 64,11-20,Cat_1,Marketing Manager,Manufacturing,Mass Customer,N,No,9,2390,NSW,2
Flossy,Concannon,Female,35-44,61-70,Cat_2,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,3919,VIC,2
Cristen,Wiltshire,Female,55-64,51-60,Cat_2,VP Sales,Financial Services,High Net Worth,N,Yes,15,3047,VIC,6
Griffith,Escot,Male,Above 64,41-50,Cat_2,Accountant III,IT,Mass Customer,N,Yes,16,4116,QLD,3
Jamie,Jiruca,Female,55-64,21-30,Cat_1,Recruiting Manager,Argiculture,Mass Customer,N,No,18,2230,NSW,9
Lyon,Brittan,Male,45-54,11-20,Cat_2,Sales Representative,Retail,High Net Worth,N,No,19,3153,VIC,8
Aridatha,Sephton,Female,55-64,Above 90,Cat_1,Human Resources Assistant II,Manufacturing,Mass Customer,N,No,5,2340,NSW,1
Michal,Bryan,Female,45-54,Below 10,Cat_2,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,16,4000,QLD,8
Franciska,Stigell,Female,45-54,Above 90,Cat_2,Food Chemist,Health,Mass Customer,N,Yes,7,3802,VIC,7
Jordan,Clampe,Male,Above 64,31-40,Cat_2,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,4207,QLD,5
David,Napoleon,Male,55-64,71-80,Cat_1,Structural Engineer,Manufacturing,High Net Worth,N,No,14,2223,NSW,11
Meriel,Tapp,Female,25-34,Below 10,Cat_2,VP Sales,IT,Mass Customer,N,No,5,3280,VIC,2
Dolley,Starmont,Female,45-54,51-60,Cat_2,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4129,QLD,6
Frederik,Milan,Male,25-34,41-50,Cat_1,Social Worker,Health,Mass Customer,N,No,5,2546,NSW,5
Rollo,Louedey,Male,Above 64,61-70,Cat_1,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,2089,NSW,9
Jerrine,Cosbey,Female,45-54,21-30,Cat_2,Junior Executive,Financial Services,High Net Worth,N,Yes,6,3094,VIC,9
Roddy,Rubinshtein,Male,35-44,31-40,Cat_2,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,4510,QLD,7
Viki,Coutts,Female,Above 64,Below 10,Cat_1,Automation Specialist II,Property,Mass Customer,N,Yes,7,2287,NSW,4
Ashby,Bispham,Male,35-44,71-80,Cat_1,Software Consultant,Retail,Affluent Customer,N,No,4,2145,NSW,8
Alexander,Broadbent,Male,25-34,51-60,Cat_1,Desktop Support Technician,Financial Services,Mass Customer,N,No,9,2209,NSW,10
Teddy,Lagadu,Female,45-54,81-90,Cat_1,Design Engineer,Manufacturing,High Net Worth,N,No,6,2759,NSW,8
Peria,Rantoull,Female,45-54,Below 10,Cat_2,Financial Analyst,Financial Services,Mass Customer,N,No,4,4500,QLD,4
Ludvig,Andren,Male,Above 64,41-50,Cat_2,Media Manager III,Health,High Net Worth,N,Yes,15,4306,QLD,5
Elsworth,Abbitt,Male,Above 64,71-80,Cat_2,Social Worker,Health,Mass Customer,N,Yes,6,3500,VIC,3
Rebeca,Aggas,Female,Above 64,61-70,Cat_2,Social Worker,Health,Affluent Customer,N,No,21,3818,VIC,1
Ricki,Dobrowski,Male,45-54,11-20,Cat_1,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,2835,NSW,1
Georgetta,Lovett,Female,Above 64,41-50,Cat_2,Editor,Retail,Mass Customer,N,No,12,4405,QLD,1
Bambi,Cogger,Female,25-34,51-60,Cat_1,Design Engineer,Retail,Affluent Customer,N,Yes,5,2560,NSW,7
Aurie,Rhead,Female,55-64,71-80,Cat_1,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,2650,NSW,2
Farris,Skettles,Male,55-64,31-40,Cat_2,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13,3240,VIC,7
Nowell,Preddy,Male,35-44,21-30,Cat_1,Chemical Engineer,Manufacturing,Mass Customer,N,No,9,2173,NSW,9
Lacy,Drance,Female,45-54,21-30,Cat_1,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,2750,NSW,8
Padraig,Snel,Male,45-54,81-90,Cat_1,Staff Accountant II,Financial Services,Mass Customer,N,No,19,2114,NSW,7
Malorie,Votier,Female,25-34,81-90,Cat_2,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,4509,QLD,5
Shepperd,Ricards,Male,55-64,21-30,Cat_1,Social Worker,Health,Mass Customer,N,Yes,16,2284,NSW,4
Daryl,Pauncefort,Female,35-44,11-20,Cat_1,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,2380,NSW,3
Norina,Blakeway,Female,35-44,51-60,Cat_2,Programmer Analyst II,Property,Mass Customer,N,Yes,3,3081,VIC,8
My,Chaston,Male,55-64,Above 90,Cat_2,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,3765,VIC,9
Isak,Bergstram,Male,18-24,11-20,Cat_1,Pharmacist,Health,Affluent Customer,N,Yes,15,2176,NSW,9
Grannie,Cracker,Male,Above 64,21-30,Cat_2,VP Marketing,Retail,Mass Customer,N,Yes,20,4217,QLD,8
Welby,Lourenco,Male,45-54,Below 10,Cat_1,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,2138,NSW,9
Glenn,Casbourne,Female,35-44,Below 10,Cat_2,Senior Editor,Manufacturing,Mass Customer,N,No,6,4207,QLD,1
Nadiya,Balasini,Female,Above 64,31-40,Cat_1,Sales Associate,Financial Services,Mass Customer,N,No,15,2164,NSW,9
Tyne,Coate,Female,55-64,81-90,Cat_1,Developer II,Manufacturing,Mass Customer,N,No,17,2218,NSW,8
Christie,Anders,Male,45-54,31-40,Cat_1,VP Marketing,Retail,Mass Customer,N,No,16,2153,NSW,10
Agnella,Capener,Female,45-54,51-60,Cat_2,Teacher,Health,High Net Worth,N,No,19,3977,VIC,6
Bernardine,Delmonti,Female,45-54,31-40,Cat_1,Account Coordinator,Property,Mass Customer,N,No,17,2540,NSW,8
Daisy,Spowart,Female,55-64,51-60,Cat_2,Staff Accountant I,Health,Affluent Customer,N,Yes,4,4570,QLD,3
Denys,Minshall,Female,55-64,21-30,Cat_1,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,2324,NSW,8
Archibald,Blessed,Male,45-54,61-70,Cat_1,VP Sales,Financial Services,Mass Customer,N,Yes,18,2016,NSW,11
Feodor,Englishby,Male,55-64,51-60,Cat_2,Account Coordinator,Health,Mass Customer,N,No,11,3201,VIC,5
Skippie,Yearsley,Male,Above 64,Below 10,Cat_2,Compensation Analyst,Financial Services,Mass Customer,N,No,9,4350,QLD,5
Bill,,Female,55-64,71-80,Cat_1,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,2170,NSW,9
Tessa,Friese,Female,45-54,81-90,Cat_2,Health Coach II,Financial Services,Mass Customer,N,No,21,4212,QLD,9
Roseanne,Caruth,Female,Above 64,11-20,Cat_1,Programmer Analyst III,Health,Mass Customer,N,No,7,2763,NSW,9
Tedra,Goodbanne,Female,45-54,Below 10,Cat_2,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,6,3934,VIC,9
Roberto,Harme,Male,Above 64,21-30,Cat_1,Environmental Tech,Financial Services,High Net Worth,N,No,10,2564,NSW,9
Nichole,Leisman,Male,35-44,31-40,Cat_1,Geologist III,Property,Affluent Customer,N,No,4,2068,NSW,12
Amil,Ennor,Female,25-34,21-30,Cat_2,Health Coach II,Health,Mass Customer,N,Yes,10,3109,VIC,11
Shawna,Hinrichsen,Female,45-54,51-60,Cat_1,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,2326,NSW,2
Fonsie,Levane,Male,Above 64,Above 90,Cat_2,Account Representative III,Health,High Net Worth,N,Yes,19,4011,QLD,3
Emilie,Brody,Female,35-44,Below 10,Cat_1,Director of Sales,Financial Services,Mass Customer,N,Yes,3,2073,NSW,11
Robert,Corkill,Male,45-54,51-60,Cat_1,Clinical Specialist,Health,Mass Customer,N,No,4,2227,NSW,10
Elvira,Kurten,Female,45-54,61-70,Cat_1,Assistant Professor,Financial Services,High Net Worth,N,No,12,2471,NSW,3
Juliana,Mitchenson,Female,25-34,51-60,Cat_2,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,4350,QLD,4
Regine,Bownes,Female,Above 64,Above 90,Cat_2,Senior Developer,Retail,Affluent Customer,N,No,15,3752,VIC,9
Abner,Fraschetti,Male,35-44,31-40,Cat_2,Staff Scientist,Argiculture,Affluent Customer,N,No,13,3805,VIC,7
Alvira,Coulman,Female,Above 64,41-50,Cat_1,Account Representative II,Health,Affluent Customer,N,No,14,2205,NSW,9
Sawyer,Sponton,Male,Above 64,31-40,Cat_1,Help Desk Technician,Property,Mass Customer,N,Yes,10,2126,NSW,11
Feodor,Vickers,Male,25-34,51-60,Cat_1,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,2209,NSW,6
Paten,Cayet,Male,25-34,51-60,Cat_2,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,3850,VIC,1
Loria,Tappington,Female,Above 64,71-80,Cat_2,Research Assistant IV,Property,Mass Customer,N,No,5,3038,VIC,8
Tanya,Kiefer,Female,25-34,51-60,Cat_1,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,2146,NSW,9
Devonne,Alderwick,Female,Above 64,71-80,Cat_2,Research Associate,Manufacturing,High Net Worth,N,Yes,9,3122,VIC,7
Omero,McDonand,Male,Above 64,51-60,Cat_1,Software Consultant,Manufacturing,Mass Customer,N,No,16,2066,NSW,9
Iain,Haversham,Male,Above 64,Above 90,Cat_1,Sales Representative,Retail,Mass Customer,N,Yes,13,2120,NSW,10
Keriann,Newham,Female,45-54,71-80,Cat_2,Assistant Manager,Financial Services,Mass Customer,N,No,5,4179,QLD,9
Conroy,Rappaport,Male,55-64,31-40,Cat_1,Assistant Manager,Health,High Net Worth,N,No,9,2148,NSW,9
Dorian,Rustman,Male,45-54,71-80,Cat_2,Junior Executive,Manufacturing,Mass Customer,N,No,18,4352,QLD,7
Quillan,Guinane,Male,Above 64,31-40,Cat_1,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,21,2177,NSW,8
Harlin,Mazin,Male,45-54,31-40,Cat_1,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,2454,NSW,7
Eustacia,Dornan,Female,35-44,61-70,Cat_2,Account Representative IV,Property,Mass Customer,N,No,5,3806,VIC,9
Maury,Galego,Male,25-34,61-70,Cat_2,Social Worker,Health,High Net Worth,N,Yes,3,3032,VIC,10
Reggie,Kernar,Female,45-54,21-30,Cat_1,Senior Editor,Financial Services,High Net Worth,N,No,17,2228,NSW,10
Brigitte,Whellams,Female,45-54,61-70,Cat_1,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,17,2766,NSW,8
Kinna,Kollasch,Female,35-44,Below 10,Cat_2,Safety Technician I,Property,High Net Worth,N,No,9,4060,QLD,10
Maurizio,Comi,Male,25-34,71-80,Cat_1,VP Product Management,IT,Affluent Customer,N,No,10,2766,NSW,9
Elbertina,Fendley,Female,25-34,31-40,Cat_1,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,2117,NSW,11
Franklin,Wohler,Male,Above 64,51-60,Cat_1,Clinical Specialist,Health,Mass Customer,N,Yes,7,2250,NSW,8
Allyson,Petchell,Female,45-54,11-20,Cat_1,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,2170,NSW,8
Ermentrude,Heindle,Female,45-54,41-50,Cat_1,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,2226,NSW,10
Alanna,Lerway,Female,Above 64,21-30,Cat_2,Dental Hygienist,Health,Mass Customer,N,Yes,11,3195,VIC,12
Vincent,Jopke,Male,45-54,Below 10,Cat_2,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,3687,VIC,3
Mandie,Jeffryes,Female,35-44,51-60,Cat_2,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,7,4109,QLD,9
Collete,Dory,Female,25-34,61-70,Cat_1,Information Systems Manager,Health,High Net Worth,N,No,2,2210,NSW,9
Leonid,Dorricott,Male,25-34,41-50,Cat_1,Environmental Tech,Financial Services,Affluent Customer,N,No,3,2448,NSW,3
Charlena,Berney,Female,55-64,51-60,Cat_2,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,4207,QLD,4
Engracia,Dobbs,Female,55-64,81-90,Cat_1,Social Worker,Health,Mass Customer,N,No,15,2250,NSW,8
Glyn,,Male,Above 64,41-50,Cat_1,General Manager,Manufacturing,Affluent Customer,N,Yes,21,2300,NSW,9
Rosemonde,Cartwight,Female,Above 64,41-50,Cat_2,Analyst Programmer,Retail,Mass Customer,N,Yes,7,4605,QLD,1
Alano,Satchel,Male,18-24,Below 10,Cat_1,Recruiting Manager,Manufacturing,Mass Customer,N,No,2,2429,NSW,7
Corrine,Baribal,Female,Above 64,11-20,Cat_1,Senior Sales Associate,Manufacturing,Affluent Customer,N,Yes,12,2170,NSW,8
Benoit,Harniman,Male,45-54,31-40,Cat_2,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,4018,QLD,7
Jenelle,Fearnill,Female,Above 64,11-20,Cat_1,Social Worker,Health,High Net Worth,N,No,19,2144,NSW,9
Tannie,Gambrell,Male,55-64,Above 90,Cat_2,Financial Analyst,Financial Services,Affluent Customer,N,No,4,4710,QLD,4
Mick,Macewan,Male,55-64,31-40,Cat_1,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,2032,NSW,10
Abbie,Oldman,Male,35-44,81-90,Cat_1,Social Worker,Health,High Net Worth,N,Yes,5,2168,NSW,8
Tabbie,Curner,Male,25-34,11-20,Cat_2,Chief Design Engineer,Retail,Mass Customer,N,No,6,3021,VIC,6
Shane,Killen,Male,Above 64,21-30,Cat_1,Account Executive,Entertainment,High Net Worth,N,No,10,2165,NSW,8
Roberta,Goodale,Female,Above 64,Below 10,Cat_2,Information Systems Manager,Property,Mass Customer,N,Yes,22,4211,QLD,7
Kippy,Barabisch,Male,18-24,11-20,Cat_1,Legal Assistant,Manufacturing,Mass Customer,N,No,4,2125,NSW,11
Rosalinde,Cubuzzi,Female,25-34,41-50,Cat_1,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,5,2444,NSW,7
Cami,Barnbrook,Female,55-64,Below 10,Cat_2,Occupational Therapist,Health,Affluent Customer,N,Yes,18,4285,QLD,2
Dorian,Stollen,Male,35-44,71-80,Cat_1,Statistician I,Financial Services,Mass Customer,N,Yes,18,2026,NSW,11
Hunfredo,Hayball,Male,25-34,Below 10,Cat_1,Business Systems Development Analyst,IT,Affluent Customer,N,No,3,2227,NSW,8
Giorgi,O'Shirine,Male,35-44,61-70,Cat_2,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,3934,VIC,8
